net balance,SP,BofA,MCSI
2.42,-0.68,-0.01,-1.25
-5.20,0.64,0.25,-1.69
-1.88,0.38,0.04,0.25
0.49,-0.12,0.17,-0.58
-1.30,0.17,-0.53,-0.90
-0.63,-0.73,-0.22,2.12
1.36,-0.02,0.13,1.18
-0.20,-1.64,0.00,0.69
-1.70,0.45,0.68,1.35
0.66,-1.62,0.00,-0.42
-1.55,-0.63,0.36,-0.59
-1.51,-0.85,0.35,0.39
-1.98,2.04,0.05,-1.02
2.23,2.40,-0.21,0.00
-1.58,0.46,0.04,-0.57
2.83,0.38,-0.10,-0.24
3.14,0.17,0.15,-0.14
0.41,-0.01,-0.30,0.27
-0.74,#N/A,0.00,-0.27
0.38,#N/A,0.05,-0.07
1.22,0.09,-0.13,-2.17
-1.47,-0.49,-0.03,0.58
1.87,-1.03,0.23,-0.22
2.77,#N/A,0.06,-0.44
-3.86,#N/A,0.33,-0.21
0.00,-1.83,0.02,1.41
-0.74,-0.89,-0.14,1.12
-0.70,1.16,-0.05,-0.28
0.37,1.79,0.15,-0.19
-0.90,-0.84,-0.08,-0.14
1.07,-0.81,-0.76,-0.99
-0.97,-0.26,-0.31,1.32
-0.39,-0.58,0.27,0.17
1.38,-0.92,-0.01,-0.50
0.00,1.34,0.02,-0.58
0.82,#N/A,0.31,-0.35
1.26,#N/A,-0.11,0.12
0.88,0.47,#N/A,-1.01
1.32,1.53,#N/A,-0.42
1.40,-0.55,0.14,0.20
-1.77,0.26,0.63,1.92
2.25,-1.34,-0.08,0.33
-1.07,-1.35,0.04,-0.89
0.54,0.95,0.29,-0.21
-1.04,-1.30,0.19,-0.35
0.30,1.30,-0.19,-0.90
3.79,1.44,0.09,1.09
-0.79,-0.42,0.49,-0.64
1.21,1.03,-0.20,0.08
2.11,-0.34,0.05,-0.98
-2.35,-0.42,0.38,-1.35
-2.54,1.07,-0.15,1.34
-0.39,0.00,-0.25,-0.95
-0.74,0.96,0.08,1.04
2.35,0.41,0.76,2.43
2.15,#N/A,-0.49,0.48
1.04,#N/A,0.30,-0.47
0.69,-0.03,0.40,0.13
2.87,-0.11,-0.21,-1.10
-0.18,0.61,0.57,0.67
-1.09,-0.03,0.35,0.64
2.96,0.28,0.96,-0.55
2.81,-0.08,-0.54,0.16
-3.32,-0.15,-0.68,0.10
0.41,-0.30,-0.03,-0.58
0.47,0.61,-0.21,-0.16
0.00,-0.45,0.09,0.48
-0.89,-0.44,0.78,-0.67
-0.02,0.12,0.00,0.32
3.46,-1.42,0.38,-1.01
0.07,0.39,-0.13,-0.03
-2.04,-1.70,0.21,0.62
-0.08,-0.19,0.30,-1.82
0.41,1.26,-0.12,-0.36
-1.29,-0.61,0.27,0.44
0.53,1.35,-0.58,0.64
1.55,-0.33,-0.65,0.59
3.51,1.22,0.17,-0.16
1.28,-0.49,0.02,-0.34
0.10,0.90,0.24,-0.47
0.05,-0.17,-0.23,-1.33
